post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility,attribute:pa_alto,attribute_data:pa_alto,attribute:pa_ancho,attribute_data:pa_ancho,attribute:pa_aro,attribute_data:pa_aro,attribute:pa_indice-de-carga,attribute_data:pa_indice-de-carga,attribute:pa_velocidad-maxima,attribute_data:pa_velocidad-maxima
"MINNELL 225/60/17 99H SAFY M06",,,3308,"Falta descripiocn","Falta descripcion corta...
Además, agregar galeria de imágenes",Borrador,,0,"2026-04-20 16:04:25",1,closed,,,,no,no,0,93000,80000,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2025/03/neumaticos-freire-minnell-235-65-r17-104h-safy-m06-huella.jpg ! alt : neumaticos-freire-minnell-235-65-r17-104h-safy-m06-huella ! title : neumaticos-freire-minnell-235-65-r17-104h-safy-m06-huella ! desc : neumaticos-freire-minnell-235-65-r17-104h-safy-m06-huella ! caption : neumaticos-freire-minnell-235-65-r17-104h-safy-m06-huella",,https://neumaticosfreire.cl/?post_type=product&p=3308,0,,,simple,outofstock,"Aro > 17|Ancho > 225|Alto > 60|Marca > MINNELL",MINNELL,,,,,,,,,,,,
"YOMAR TIRE 225/60/17 99V SKYRACE P05",,,3309,,"Falta por agregar:

- Imagen de la marca(no existe en la biblioteca la marca YOMAR)
- Mejorar etiquetas
- ",Borrador,,0,"2026-04-20 16:04:00",1,closed,673,,,no,no,0,93000,80000,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/08/a610-2.webp ! alt :  ! title : a610 (2) ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3309,0,,,simple,outofstock,"Aro > 17|Ancho > 225|Alto > 60|Marca > YOMAR",P05|YOMAR,,,,,,,,,,,,
"YOMAR TIRES 97W SKYRACE P03",,,3310,,"Falta:
- Imagen principal acorde
- Icono Yomar
Descripciones",Borrador,,0,"2026-04-22 12:29:35",1,closed,644,,,no,no,4,85000,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2025/10/d096b0cb-fdb4-498c-8160-03e0ccec85a8-1.jpg ! alt :  ! title : d096b0cb-fdb4-498c-8160-03e0ccec85a8 (1) ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3310,0,,,simple,,"Aro > 17|Ancho > 225|Alto > 55|Marca > YOMAR",P03|YOMAR,,,,,,,,,,,,
"MINNELL 225/50/17 94W SAFY M06",__trashed-2,,3311,,"Falta imagen correspondiente
",Borrador,,0,"2026-04-20 16:07:30",1,closed,636,,,no,no,8,93000,80000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2025/11/195-55-16-yh.webp ! alt :  ! title : 195 55 16 yh ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3311,0,,,simple,,"Aro > 17|Ancho > 225|Alto > 50|Marca > MINNELL",MINNELL,,,,,,,,,,,,
"YOMAR TIRES 225/45/17 97W SKYRACE",,,3312,,"Producto en SIGA pero sin stock ni precio",Borrador,,0,"2026-04-22 12:30:36",1,closed,646,,,no,no,0,,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/08/YOKOHAMA-BLUEARTH-ES32.jpg ! alt :  ! title : YOKOHAMA-BLUEARTH-ES32 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3312,0,,,simple,outofstock,"Aro > 17|Ancho > 235|Alto > 45|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"MINNELL 235/65/17 104H SAFY M06",,,3313,,"Revisar si la imagen corresponde al neumático",Borrador,,0,"2026-04-20 15:54:07",1,closed,,,,no,no,1,93000,88000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2025/03/neumaticos-freire-minnell-235-65-r17-104h-safy-m06-huella.jpg ! alt : neumaticos-freire-minnell-235-65-r17-104h-safy-m06-huella ! title : neumaticos-freire-minnell-235-65-r17-104h-safy-m06-huella ! desc : neumaticos-freire-minnell-235-65-r17-104h-safy-m06-huella ! caption : neumaticos-freire-minnell-235-65-r17-104h-safy-m06-huella",,https://neumaticosfreire.cl/?post_type=product&p=3313,0,,,simple,,"Aro > 17|Ancho > 235|Alto > 65|Marca > MINNELL",MINNELL,,,,,,,,,,,,
"YOMAR TIRE 235/65/17 104H SKYRACE",,,3314,,"REvisar que la imagen corresponda al producto",Borrador,,0,"2026-04-20 15:54:32",1,closed,629,,,no,no,14,93000,88000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-LING-LONG-235-65-18R-CROSSWIND-HP010.jpg ! alt :  ! title : neumáticos-freire-LING-LONG-235-65-18R-CROSSWIND-HP010 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3314,0,,,simple,,"Aro > 17|Ancho > 235|Alto > 65|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"MINNEL 245/65/17 107H GIANTIRE AT88",,,3315,,"Revisar imagen refrencial puesto que no corresponde",Borrador,,0,"2026-04-20 15:51:46",1,closed,562,,,no,no,6,107000,90000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2025/03/neumaticos-freire-minnell-245-70-r16-107t-giantire-at88.jpg ! alt : neumaticos-freire-minnell-245-70-r16-107t-giantire-at88 ! title : neumaticos-freire-minnell-245-70-r16-107t-giantire-at88 ! desc : neumaticos-freire-minnell-245-70-r16-107t-giantire-at88 ! caption : neumaticos-freire-minnell-245-70-r16-107t-giantire-at88",,https://neumaticosfreire.cl/?post_type=product&p=3315,0,,,simple,,"Aro > 17|Ancho > 245|Alto > 65|Marca > MINNELL",MINNELL,,,,,,,,,,,,
"YOMAR TIRE 245/65/17 107H AT SKYRACE AT08",,,3316,,"Produc a mantener en borrador porque se venderé a futuro",Borrador,,0,"2026-04-20 15:52:46",1,closed,630,,,no,no,0,,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://neumaticosfreire.cl/?post_type=product&p=3316,0,,,simple,outofstock,"Aro > 17|Ancho > 245|Alto > 65|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"MINNELL 265/65/17 112T GIANTIRE AT88",,,3317,,"revisar imagen referncial",Borrador,,0,"2026-04-20 15:47:51",1,closed,504534,,,no,no,1,132000,118000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2025/03/neumaticos-freire-minnell-265-70-r16-112t-giantire-at88.jpg ! alt : neumaticos-freire-minnell-265-70-r16-112t-giantire-at88 ! title : neumaticos-freire-minnell-265-70-r16-112t-giantire-at88 ! desc : neumaticos-freire-minnell-265-70-r16-112t-giantire-at88 ! caption : neumaticos-freire-minnell-265-70-r16-112t-giantire-at88",,https://neumaticosfreire.cl/?post_type=product&p=3317,0,,,simple,,"Aro > 17|Ancho > 265|Alto > 65|Marca > MINNELL",MINNELL,,,,,,,,,,,,
