Interno,Descripcion,"Precio Lista (c/IVA)","Stock Total"
504851,"155 R12C ROADWING 88/86Q 8PR RW-05",42000,16
677,"500/12C LT 88/86P SKYRACE P02 YOMAR TIRE",50000,6
503737,"155/65/13 ROADWING 73T RW-581",35000,0
639,"155/65/13 YOMAR TIRES 73T SKYRACE P07",41000,0
504054,"155/70/13 ROADWING 75T RW-581",38000,0
504055,"165/13C ROADWING 94/92R 8PR RW-05",55000,13
506064,"165/65/13 ROADWING 77T RW-581",40000,4
504850,"165/70/13 ROADWING 79T RW-581",36000,12
495,"175/70/13 MINNELL 82T",38000,0
502930,"155/65/14 LING LONG 75H GREENMAX",42000,0
504584,"165/65/14 ROADWING 75T RW-581",42000,16
633,"165/60/14 MINNELL 75H RADIAL P07",0,0
503508,"165/60/14 ROADWING 75H RW-581",42000,0
493,"165/65/14 MINNELL 79T P07",39000,0
503228,"175/65/14 ANNAITE 82H AN600",40000,0
494,"175/65/14 MINNELL 82H",42000,0
667,"175/65/14 YOMAR 82H SKYRACE P03",42000,8
501598,"175/70/14 GENCO TIRES 84T T7",50000,14
512,"175/70/14 MINNELL 84H P07",42000,0
501986,"175/70/14 ROADWING 84T RW581",42500,0
640,"175/70/14 YOMAR TIRE 84H SKYRACE P03",42000,7
651,"185/14C YOMAR TIRE 102/100R SKYRACE P02",65000,8
497,"185/65/14 MINNELL 86H P07",42000,1
668,"185/65/14 YOMAR TIRE 86H SKYRACE P03",43000,16
506073,"185/70/14 ROADWING 88H RW-581",42000,0
614,"185/70/14 YOMAR TIRE 88H SKYRACE P03",45000,10
501865,"215/75/14 JOURNEY 98S 6PR",99000,1
634,"185/55/15 MINNELL 82V RADIAL P07",0,0
496,"185/60/15 MINNELL 84H P07",45000,0
641,"185/60/15 YOMAR TIRES 84H SKYRACE P03",46000,8
501937,"185/65/15 GENCO 88H T7",58000,11
498,"185/65/15 MINNELL 88H P07",46000,9
499,"185/65/15 YOMAR TIRE 106/104R SKYRACE P02",74000,6
564,"195/50/15 MINNELL 82V RADIAL P07",53000,0
692,"195/50/15 YOMAR TIRE 82V SKYRACE P03",55000,8
615,"195/55/15 YOMAR TIRE 85V SKYRACE P03",58000,8
708,"195/60/15 88V SKYRACE P03 YOMAR TIRE",0,0
504517,"195/60/15 ROADWING 88H RW-581",60000,6
501,"195/65/15 MINNELL 91V P07",46000,14
504403,"195/70/15C ROADWING 104/102 8PR RW-05",70000,1
503894,"195/14C ROADWING 106/104 8PR RW-05",70000,6
707,"195/70/15C YOMAR TIRE 104/102R SKYRACE P02",70000,4
618,"205/60/15 YOMAR TIRE 91V SKYRACE P03",59000,2
671,"205/65/15 YOMAR TIRE 94V SKYRACE P07",58000,7
698,"205/70/15 MINNELL 96H P07",67500,8
501527,"215/70/15 CACHLAND 6PR AT",65000,0
635,"215/75/15 MINNELL 100T TUGH A99 AT",0,0
501710,"225/70/15C ROADWING 110/112R 8PR RW-05",90000,0
638,"235/75/15 MINNELL 105T AT TUGH A99",85000,12
676,"31X10.5/15 YOMAR TIRE LT ALL TERRAIN AT09",125000,6
669,"195/50/16 YOMAR TIRE 84V SKYRACE P06",0,0
500,"195/55/16 MINNELL 91V SPORT M01",60000,0
616,"195/55/16 YOMAR TIRE 87V SKYRACE P03",60000,10
695,"195/60/16 YOMAR TIRE 89H SKYRACE P07",56000,6
501792,"205/55/16 GENCO 94W G7",70000,14
502,"205/55/16 MINNELL 91V P07",55000,12
503,"205/60/16 MINNELL 92H P07",55000,1
503509,"205/60/16 ROADWING 92H RW-581",54000,0
706,"205/60/16 YOMAR TIRE 92V SKYRACE P03",55000,8
563,"205/65/16 MINNELL 95V SPORT M08",70000,4
560,"205/65/16C MINNELL 107/105T COME L09",77000,4
503134,"215/60/16 ROADWING 95H RW-581",58000,4
622,"215/60/16 YOMAR TIRE 95V SKYRACE P03",60000,12
503438,"215/65/16 GENCO 98H T7",80000,9
505,"215/65/16 MINNELL 98H P07",65000,12
501645,"215/65/16 ROADWING 98H RW581",68000,3
501642,"215/65/16 TRIANGLE 102H",80000,0
506087,"215/70/16 FIREMAX 100T OWL FM501 AT",89000,1
624,"215/70/16 YOMAR TIRE 100H SKYRACE P05",78000,6
561,"215/75/16C MINNELL 113/111R COME L09",85000,8
504535,"225/70/16 MINNELL 103H HT SAFYM06",75000,0
627,"225/70/16 YOMAR TIRE 103H SKYRACE P05",78000,8
501959,"225/75/16 ONYX 115/112S 10PR AT-187",110000,0
504131,"225/75/16C ROADWING 121/120R 12PR RW-05",95000,1
637,"235/65/16C MINNELL 115/113T COME L09",85000,4
674,"235/70/16 YOMAR TIRE 106H SKYRACE AT8",88000,8
510,"245/70/16 MINNELL 107T AT GIANTIRE AT88",85000,1
649,"245/70/16 YOMAR TIRE 105T AT SKYRACE",88000,6
511,"265/70/16 MINNELL 112T AT GIANTIRE AT88",95000,7
642,"205/40/17 YOMAR TIRE 84W XL SKYRACE P06",0,0
670,"205/45/17 YOMAR TIRE 88W SKYRACE P06",0,0
617,"205/55/17 YOMAR TIRE 91W SKYRACE P03",74000,5
619,"215/45/17 YOMAR TIRE 91W SKYRACE P03",70000,8
620,"215/50/17 YOMAR TIRE 95W XL SKYRACE P03",78000,4
