post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility,attribute:pa_alto,attribute_data:pa_alto,attribute:pa_ancho,attribute_data:pa_ancho,attribute:pa_aro,attribute_data:pa_aro,attribute:pa_indice-de-carga,attribute_data:pa_indice-de-carga,attribute:pa_velocidad-maxima,attribute_data:pa_velocidad-maxima
"KUMHO 145 R13C KC55",kumho-145-88-r13-kc55,,142,"Los fabricantes de este neumático tuvieron como finalidad optimizar aspectos como, durabilidad, resistencia, comodidad, seguridad entre otros. Esto con el fin de ofrecer un neumático que se adapte fácilmente a las características de tu auto y que al mismo tiempo mejore tu experiencia como conductor.
<h4><b>Ventajas del neumático Kumho KC 55</b></h4>
<h5><b>Excelente tracción</b></h5>
La banda de rodadura de este neumático cuenta con un diseño rígido de ranuras profundas que le ayudan a expulsar el agua de manera rápida y efectiva, evitando deslizamientos o accidentes al circular sobre rutas mojadas. Así mismo, este diseño te permite mejorar la maniobrabilidad y el frenado al tomar curvas o conducir a altas velocidades.
<h5><b>Mayor durabilidad</b></h5>
Este neumático está especialmente diseñado para presentar un desgaste uniforme, manteniendo un excelente rendimiento y conservando la forma y estructura por mucho más tiempo. Es decir que no solo contarás con un buen servicio, sino que también podrás ahorrar más dinero.
<h5><b>Conducción segura y suave</b></h5>
El Kumho KC 55  posee componentes especiales que disminuyen en gran medida las molestas emisiones de ruido y las vibraciones que se producen al manejar.  Igualmente, el diseño de la banda de rodadura te permite amortiguar mejor las deficiencias del suelo para una mayor tranquilidad. Finalmente, es importante mencionar que este neumático cumple con los parámetros establecidos por la legislación europea en materia de seguridad.
<h5><b>Altos índices de velocidad y carga</b></h5>
Este neumático puede alcanzar velocidades de hasta 130 km/h y su capacidad de carga es de aproximadamente 487 kg. De este modo no tendrás ningún inconveniente al transportar varias personas en tu vehículo o desplazar varios objetos.

&nbsp;",,Publicada,,0,"2023-08-11 23:33:00",1,open,506022,,,no,no,12,85000,,,,,,,,instock,no,no,0,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l1.jpg ! alt :  ! title : westlake-sa37-l1 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/neumaticos-freire-wastelake-175-70-r13-82t.jpg ! alt :  ! title : neumaticos-freire-wastelake-175-70-r13-82t ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l2.jpg ! alt :  ! title : westlake-sa37-l2 ! desc :  ! caption : ",,https://neumaticosfreire.cl/producto/kumho-145-88-r13-kc55/,0,,,simple,,"Aro > 13|Ancho > 145|Alto > 88|Marca > KUMHO",,,,,,,,,,,,,
"WEST LAKE 175/70 13R RP18",west-lake-175-70-13r-rp18,,291,"Un compuesto de la banda de rodadura para todas las estaciones y un patrón simétrico de la banda de rodadura proporcionan una tracción sólida sobre pavimento seco o húmedo. El dibujo de la banda de rodadura no es direccional, lo que facilita mucho la rotación de los neumáticos y ayuda a prolongar la vida útil de la banda de rodadura.",,Publicada,,0,"2023-08-19 09:02:00",1,open,505926,,,no,no,1,49990,,,,,,,,instock,no,no,0,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/08/neumaticos-freire-WEST-LAKE-175-70-13R-RP18.jpg ! alt :  ! title : neumáticos-freire-WEST-LAKE-175-70-13R-RP18 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l1.jpg ! alt :  ! title : westlake-sa37-l1 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l2.jpg ! alt :  ! title : westlake-sa37-l2 ! desc :  ! caption : ",,https://neumaticosfreire.cl/producto/west-lake-175-70-13r-rp18/,0,,,simple,,"Aro > 13|Ancho > 175|Alto > 70|Marca > WESTLAKE",,,,70,0|1|0,175,1|1|0,13,2|1|0,"82 = hasta 475 kg",3|1|0,"T = hasta 190 km/h",4|1|0
"WESTLAKE 155/ 12R H188",westlake-155-12r-h188,,456,"Valioso neumático comercial para vehículos comerciales para vehículos en carreteras pavimentadas
5 ranuras de costilla proporcionan un mejor manejo y comodidad
Cubierta de poliéster con correas de acero para una buena durabilidad",,Publicada,,0,"2023-08-19 09:37:00",1,open,506028,,,no,no,10,55000,,,,,,,,instock,no,no,0,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/06/neumaticos-freire-wastelake-175-70-r13-82t.jpg ! alt :  ! title : neumaticos-freire-wastelake-175-70-r13-82t ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l2.jpg ! alt :  ! title : westlake-sa37-l2 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l1.jpg ! alt :  ! title : westlake-sa37-l1 ! desc :  ! caption : ",,https://neumaticosfreire.cl/producto/westlake-155-12r-h188/,0,,,simple,,"Aro > 12|Ancho > 155|Marca > WESTLAKE",,,,,,,,,,,,,
"WEST LAKE 165/65 13R RP18",west-lake-165-65-13r-rp18,,457,"Un compuesto de la banda de rodadura para todas las estaciones y un patrón simétrico de la banda de rodadura proporcionan una tracción sólida sobre pavimento seco o húmedo. El dibujo de la banda de rodadura no es direccional, lo que facilita mucho la rotación de los neumáticos y ayuda a prolongar la vida útil de la banda de rodadura.

&nbsp;

&nbsp;","Un compuesto de la banda de rodadura para todas las estaciones y un patrón simétrico de la banda de rodadura proporcionan una tracción sólida sobre pavimento seco o húmedo. El dibujo de la banda de rodadura no es direccional, lo que facilita mucho la rotación de los neumáticos y ayuda a prolongar la vida útil de la banda de rodadura.",Publicada,,0,"2023-08-19 09:41:00",1,open,501874,,,no,no,8,50000,,,,,,,,instock,no,no,0,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/06/neumaticos-freire-wastelake-175-70-r13-82t.jpg ! alt :  ! title : neumaticos-freire-wastelake-175-70-r13-82t ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l2.jpg ! alt :  ! title : westlake-sa37-l2 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l1.jpg ! alt :  ! title : westlake-sa37-l1 ! desc :  ! caption : ",,https://neumaticosfreire.cl/producto/west-lake-165-65-13r-rp18/,0,,,simple,,"Aro > 13|Ancho > 165|Marca > WESTLAKE",,,,,,,,,,,,,
"WEST LAKE 235/55 18R SU318",west-lake-235-55-18r-su318,,458,"El neumático H / T ideal integró la comodidad excepcional en carretera y la seguridad de tracción en mojado como un todo
Los cuatro surcos de longitud combinados con las aletas del viento aseguran una excelente evacuación del agua y un rendimiento de tracción en mojado
SILICA TECH adoptada para un mejor agarre en mojado, así como una baja resistencia a la rodadura
El alambre de acero reconstruido mejora el confort de conducción de manera efectiva","El neumático H / T ideal integró la comodidad excepcional en carretera y la seguridad de tracción en mojado como un todo
Los cuatro surcos de longitud combinados con las aletas del viento aseguran una excelente evacuación del agua y un rendimiento de tracción en mojado
SILICA TECH adoptada para un mejor agarre en mojado, así como una baja resistencia a la rodadura
El alambre de acero reconstruido mejora el confort de conducción de manera efectiva",Publicada,,0,"2023-08-19 09:45:00",1,open,501799,,,no,no,3,125000,,,,,,,,instock,no,no,0,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/06/neumaticos-freire-wastelake-175-70-r13-82t.jpg ! alt :  ! title : neumaticos-freire-wastelake-175-70-r13-82t ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l2.jpg ! alt :  ! title : westlake-sa37-l2 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l1.jpg ! alt :  ! title : westlake-sa37-l1 ! desc :  ! caption : ",,https://neumaticosfreire.cl/producto/west-lake-235-55-18r-su318/,0,,,simple,,"Aro > 18|Ancho > 235|Alto > 55|Marca > WESTLAKE",,,,,,,,,,,,,
"WEST LAKE 225/70 17R SL369",west-lake-225-70-17r-sl369,,459,"El resistente SL369 All-Terrain está diseñado para hacer frente a las condiciones de todo terreno y rocosas, de frente. Los surcos anchos y profundos con bloques de la banda de rodadura de conmutación hacia atrás brindan una tracción óptima fuera de la carretera en condiciones inclementes, mientras que el patrón de la banda de rodadura permite una conducción silenciosa y cómoda en la carretera.
La SL369 es la llanta a la que se puede acceder y que ofrece un gran equilibrio entre el rendimiento del camión tanto dentro como fuera de la carretera.","El resistente SL369 All-Terrain está diseñado para hacer frente a las condiciones de todo terreno y rocosas, de frente. Los surcos anchos y profundos con bloques de la banda de rodadura de conmutación hacia atrás brindan una tracción óptima fuera de la carretera en condiciones inclementes, mientras que el patrón de la banda de rodadura permite una conducción silenciosa y cómoda en la carretera.
La SL369 es la llanta a la que se puede acceder y que ofrece un gran equilibrio entre el rendimiento del camión tanto dentro como fuera de la carretera.",Publicada,,0,"2023-08-19 09:51:00",1,open,506102,,,no,no,3,115000,,,,,,,,instock,no,no,0,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/06/neumaticos-freire-wastelake-175-70-r13-82t.jpg ! alt :  ! title : neumaticos-freire-wastelake-175-70-r13-82t ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l2.jpg ! alt :  ! title : westlake-sa37-l2 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l1.jpg ! alt :  ! title : westlake-sa37-l1 ! desc :  ! caption : ",,https://neumaticosfreire.cl/producto/west-lake-225-70-17r-sl369/,0,,,simple,,"Aro > 17|Ancho > 225|Alto > 70|Marca > WESTLAKE",,,,,,,,,,,,,
"WEST LAKE 195/70 14R RP18",west-lake-195-70-14r-rp18,,460,"Un compuesto de la banda de rodadura para todas las estaciones y un patrón simétrico de la banda de rodadura proporcionan una tracción sólida sobre pavimento seco o húmedo. El dibujo de la banda de rodadura no es direccional, lo que facilita mucho la rotación de los neumáticos y ayuda a prolongar la vida útil de la banda de rodadura.","Un compuesto de la banda de rodadura para todas las estaciones y un patrón simétrico de la banda de rodadura proporcionan una tracción sólida sobre pavimento seco o húmedo. El dibujo de la banda de rodadura no es direccional, lo que facilita mucho la rotación de los neumáticos y ayuda a prolongar la vida útil de la banda de rodadura.",Publicada,,0,"2023-08-19 09:55:00",1,open,506071,,,no,no,1,60000,,,,,,,,instock,no,no,0,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/06/neumaticos-freire-wastelake-175-70-r13-82t.jpg ! alt :  ! title : neumaticos-freire-wastelake-175-70-r13-82t ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l2.jpg ! alt :  ! title : westlake-sa37-l2 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l1.jpg ! alt :  ! title : westlake-sa37-l1 ! desc :  ! caption : ",,https://neumaticosfreire.cl/producto/west-lake-195-70-14r-rp18/,0,,,simple,,"Aro > 14|Ancho > 195|Alto > 70|Marca > WESTLAKE",,,,,,,,,,,,,
"WEST LAKE 195/60 16R RP18",west-lake-195-60-16r-rp18,,462,"Un compuesto de la banda de rodadura para todas las estaciones y un patrón simétrico de la banda de rodadura proporcionan una tracción sólida sobre pavimento seco o húmedo. El dibujo de la banda de rodadura no es direccional, lo que facilita mucho la rotación de los neumáticos y ayuda a prolongar la vida útil de la banda de rodadura.","Un compuesto de la banda de rodadura para todas las estaciones y un patrón simétrico de la banda de rodadura proporcionan una tracción sólida sobre pavimento seco o húmedo. El dibujo de la banda de rodadura no es direccional, lo que facilita mucho la rotación de los neumáticos y ayuda a prolongar la vida útil de la banda de rodadura.",Publicada,,0,"2023-08-19 10:01:00",1,open,505946,,,no,no,6,78000,,,,,,,,instock,no,no,0,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/06/neumaticos-freire-wastelake-175-70-r13-82t.jpg ! alt :  ! title : neumaticos-freire-wastelake-175-70-r13-82t ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l2.jpg ! alt :  ! title : westlake-sa37-l2 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l1.jpg ! alt :  ! title : westlake-sa37-l1 ! desc :  ! caption : ",,https://neumaticosfreire.cl/producto/west-lake-195-60-16r-rp18/,0,,,simple,,"Aro > 16|Ancho > 195|Alto > 60|Marca > WESTLAKE",,,,,,,,,,,,,
"LING LONG 145/70 12R GREEN MAX ECO TOURING",ling-long-145-70-12r-green-max-eco-touring,,467,,145/70/12,Publicada,,0,"2023-08-30 11:57:00",1,open,505908,,,no,no,6,51999,,,,,,,,instock,no,no,0,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/06/neumaticos-freire-wastelake-175-70-r13-82t.jpg ! alt :  ! title : neumaticos-freire-wastelake-175-70-r13-82t ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l2.jpg ! alt :  ! title : westlake-sa37-l2 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l1.jpg ! alt :  ! title : westlake-sa37-l1 ! desc :  ! caption : ",,https://neumaticosfreire.cl/producto/ling-long-145-70-12r-green-max-eco-touring/,0,,,simple,,"Aro > 12|Ancho > 145|Alto > 70|Marca > LINGLONG",,,,,,,,,,,,,
"WEST LAKE 155/ 12R SL305",west-lake-155-12r-sl305,,469,"Diseño especial para mini furgonetas y coches compactos.
La construcción combinada de la carcasa de poliéster y las correas de acero brindan una durabilidad excepcional
La larga vida del neumático proporciona un valor notable para los usuarios finales",,Publicada,,0,"2023-08-30 12:02:00",1,open,501759,,,no,no,7,63999,,,,,,,,instock,no,no,0,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/06/neumaticos-freire-wastelake-175-70-r13-82t.jpg ! alt :  ! title : neumaticos-freire-wastelake-175-70-r13-82t ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l2.jpg ! alt :  ! title : westlake-sa37-l2 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l1.jpg ! alt :  ! title : westlake-sa37-l1 ! desc :  ! caption : ",,https://neumaticosfreire.cl/producto/west-lake-155-12r-sl305/,0,,,simple,,"Aro > 12|Ancho > 155|Marca > WESTLAKE",,,,,,,,,,,,,
"WEST LAKE 155/ 13R SL305",west-lake-155-13r-sl305,,471,"Diseño especial para mini furgonetas y coches compactos.
La construcción combinada de la carcasa de poliéster y las correas de acero brindan una durabilidad excepcional
La larga vida del neumático proporciona un valor notable para los usuarios finales",,Publicada,,0,"2023-08-30 12:04:00",1,open,505986,,,no,no,1,70999,,,,,,,,instock,no,no,0,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/06/neumaticos-freire-wastelake-175-70-r13-82t.jpg ! alt :  ! title : neumaticos-freire-wastelake-175-70-r13-82t ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l2.jpg ! alt :  ! title : westlake-sa37-l2 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l1.jpg ! alt :  ! title : westlake-sa37-l1 ! desc :  ! caption : ",,https://neumaticosfreire.cl/producto/west-lake-155-13r-sl305/,0,,"WEST LAKE",simple,,"Aro > 13|Ancho > 155|Marca > WESTLAKE",,,,,,,,,,,,,
"GOODRIDE 155/70 13R RP28",goodride-155-70-13r-rp28,,476,,155/70/13,Publicada,,0,"2023-08-30 12:12:00",1,open,502854,,,no,no,8,39000,,,,,,,,instock,no,no,0,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/06/neumaticos-freire-wastelake-175-70-r13-82t.jpg ! alt :  ! title : neumaticos-freire-wastelake-175-70-r13-82t ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l1.jpg ! alt :  ! title : westlake-sa37-l1 ! desc :  ! caption :  | https://neumaticosfreire.cl/wp-content/uploads/2023/06/westlake-sa37-l2.jpg ! alt :  ! title : westlake-sa37-l2 ! desc :  ! caption : ",,https://neumaticosfreire.cl/producto/goodride-155-70-13r-rp28/,5,,,simple,,"Aro > 13|Ancho > 155|Alto > 70|Ancho|Marca > GOODRIDE",,,,,,,,,,,,,
